69D2E7	A7DBD8	E0E4CC	F38630	FA6900
A3C68C	879676	6E6662	4F364A	340735
A32C28	1C090B	384030	7B8055	BCA875
80A8A8	909D9E	A88C8C	FF0D51	7A8C89
E6B39A	E6CBA5	EDE3B4	8B9E9B	6D7578
6D9788	1E2528	7E1C13	BF0A0D	E6E1C2
E6EBA9	ABBB9F	6F8B94	706482	703D6F
373737	8DB986	ACCE91	BADB73	EFEAE4
280904	680E34	9A151A	C21B12	FC4B2A
4B3E4D	1E8C93	DBD8A2	C4AC30	D74F33
FDCFBF	FEB89F	E23D75	5F0D3B	742365
234D20	36802D	77AB59	C9DF8A	F0F7DA
161616	C94D65	E7C049	92B35A	1F6764
A69E80	E0BA9B	E7A97E	D28574	3B1922
6F5846	A95A52	E35B5D	F18052	FFA446
FF7474	F59B71	C7C77F	E0E0A8	F1F1C1
641F5E	676077	65AC92	C2C092	EDD48E
D24858	EA8676	EAB05E	FDEECD	493831
62A07B	4F8B89	536C8D	5C4F79	613860
26251C	EB0A44	F2643D	F2A73D	A0E8B7
F3E7D7	F7D7CD	F8C7C9	E0C0C7	C7B9C5
FF3366	C74066	8F4D65	575A65	1F6764
D4F7DC	DBE7B4	DBC092	E0846D	F51441
4F364C	5E405F	6B6B6B	8F9E6F	B1CF72
230B00	A29D7F	D4CFA5	F8ECD4	AABE9B
FFFF99	D9CC8C	B39980	8C6673	663366
85847E	AB6A6E	F7345B	353130	CBCFB4
ED6464	BF6370	87586C	574759	1A1B1C
CCB24C	F7D683	FFFDC0	FFFFFD	457D97
D3D5B0	B5CEA4	9DC19D	8C7C62	71443F
1A081F	4D1D4D	05676E	489C79	EBC288
D31900	FF6600	FFF2AF	7CB490	000000
F0F0D8	B4DEBE	77CCA4	666666	B4DF37
029DAF	E5D599	FFC219	F07C19	E32551
7A5B3E	FAFAFA	FA4B00	CDBDAE	1F1F1F
EEDA95	B7C27E	9A927B	8A6A6B	805566
595B5A	14C3A2	0DE5A8	7CF49A	B8FD99
C46564	F0E999	B8C99D	9B726F	EEB15B
063940	195E63	3E838C	8EBDB6	ECE1C3
411F2D	AC4147	F88863	FFC27F	FFE29A
EBEAA9	EBC588	7D2948	3B0032	0E0B29
566965	948A71	CC9476	F2A176	FF7373
E8C382	B39D69	A86B4C	7D1A0C	340A0B
FFABAB	FFDAAB	DDFFAB	ABE4FF	D9ABFF
1F1F20	2B4C7E	567EBB	606D80	DCE0E6
FFF5DE	B8D9C8	917081	750E49	4D002B
9DBCBC	F0F0AF	FF370F	332717	6BACBF
E7E79D	C0D890	78A890	606078	D8A878
0A0310	49007E	FF005B	FF7D10	FFB238
94654C	F89FA1	FABDBD	FAD6D6	FEFCD0
CDDBC2	F7E4C6	FB9274	F5565B	875346
F0DDBD	BA3622	851E25	520C30	1C997F
ECBE13	738C79	6A6B5F	2C2B26	A43955
3F2C26	DD423E	A2A384	EAC388	C5AD4B
213435	46685B	648A64	A6B985	E1E3AC
CDECCC	EDD269	E88460	F23460	321D2E
DDE0CF	C6BE9A	AD8B32	937460	8C5B7B
312C20	494D4B	7C7052	B3A176	E2CB92
130912	3E1C33	602749	B14623	F6921D
574C41	E36B6B	E3A56B	E3C77B	96875A
E7DD96	E16639	AD860A	B7023F	55024A
181419	4A073C	9E0B41	CC3E18	F0971C
4D3B36	EB613B	F98F6F	C1D9CD	F7EADC
413040	6C6368	B9A173	EAA353	FFEFA9
CC2649	992C4B	66324C	33384E	003E4F
001449	012677	005BC5	00B4FC	17F9FF
FFFF00	CCD91A	99B333	668C4D	336666
FFCDB8	FDEECF	C8C696	97BEA9	37260C
1693A5	45B5C4	7ECECA	A0DED6	C7EDE8
FFFFFF	FFFAEB	F0F0D8	CFCFCF	967C52
785D56	BE4C54	C6B299	E6D5C1	FFF4E3
E8D3A9	E39B7D	6E6460	89B399	BCBFA3
E6A06F	9E9C71	5E8271	33454E	242739
F7F3D5	FFDABF	FA9B9B	E88087	635063
ED5672	160E32	9EAE8A	CDBB93	FBC599
2B1719	02483E	057C46	9BB61B	F8BE00
4DAB8C	542638	8F244D	C9306B	E86F9E
67BE9B	95D0B8	FCFCD7	F1DB42	F04158
A7CD2C	BADA5F	CEE891	E1F5C4	50C8C6
F4F4F4	9BA657	F0E5C9	A68C69	594433
AFC7B9	FFE1C9	FAC7B4	FCA89D	998B82
FC580C	FC6B0A	F8872E	FFA927	FDCA49
B2CBA3	E0DF9F	E7A83E	9A736E	EA525F
E25858	E9D6AF	FFFFDD	C0EFD2	384252
E7EED0	CAD1C3	948E99	51425F	2E1437
FF0092	FFCA1B	B6FF00	228DFF	BA01FF
C9D1D3	F7F7F7	9DD3DF	3B3737	991818
ACDEB2	E1EAB5	EDAD9E	FE4B74	390D2D
9F0A28	D55C2B	F6E7D3	89A46F	55203C
FDFFD9	73185E	36BBA6	0C0D02	8B911A
AADEAD	BBDEAD	CCDEAD	DDDEAD	EEDEAD
F6C7B7	F7A398	FA7F77	B42529	000000
42282C	6CA19E	84ABAA	DED1B6	6D997A
A7321C	FFDC68	CC982A	928941	352504
8A8780	E6E5C4	D6D1AF	E47267	D7D8C5
A69A90	4A403D	FFF1C1	FACF7D	EA804C
418E8E	5A4E3C	C4D428	D8E472	E9EBBF
FAF6D0	C7D8AB	909A92	744F78	30091E
FA2E59	FF703F	F7BC05	ECF6BB	76BCAD
F0371A	000000	F7E6A6	3E6B48	B5B479
F1E8B4	B2BB91	D7BF5E	D16344	83555E
000000	001F36	1C5560	79AE92	FBFFCD
E0DC8B	F6AA3D	ED4C57	574435	6CC4B9
F2CC67	F38264	F40034	5F051F	75BAA8
42393B	75C9A3	BAC99A	FFC897	F7EFA2
F3E6BC	F1C972	F5886B	72AE95	5A3226
001848	301860	483078	604878	906090
2F2BAD	AD2BAD	E42692	F71568	F7DB15
998496	F7E0AE	FA748F	2D2C26	C3B457
BF2A23	A6AD3C	F0CE4E	CF872E	8A211D
DBD9B7	C1C9C8	A5B5AB	949A8E	615566
00CCBE	09A6A3	9DBFAF	EDEBC9	FCF9D8
FBFEE5	C91842	98173D	25232D	A8E7CA
002C2B	FF3D00	FFBC11	0A837F	076461
674F23	E48B69	E1B365	E5DB84	FFEEAC
D9D4A8	D15C57	CC3747	5C374B	4A5F67
FA8CB1	FDC5C9	FFFEE1	CFB699	9E6D4E
84C1B1	AD849A	D64783	FD135A	40202A
651366	A71A5B	E7204E	F76E2A	F0C505
020304	541F14	938172	CC9E61	626266
71DBD2	EEFFDB	ADE4B5	D0EAA3	FFF18C
B31237	F03813	FF8826	FFB914	2C9FA3
B88000	D56F00	F15500	FF2654	FF0C71
4EB3DE	8DE0A6	FCF09F	F27C7C	DE528C
85A29E	FFEBBF	F0D442	F59330	B22148
84BFC3	FFF5D6	FFB870	D96153	000511
244242	51BD9C	A3E3B1	FFE8B3	FF2121
1F0310	442433	A3D95B	AAE3AB	F6F0BC
FFC870	F7F7C6	C8E3C5	9CAD9A	755858
E2DF9A	EBE54D	757449	4B490B	FF0051
FFFFFF	A1C1BE	59554E	F3F4E5	E2E3D9
2197A3	F71E6C	F07868	EBB970	E7D3B0
B2B39F	C8C9B5	DEDFC5	F5F7BD	3D423C
4C3D31	F18273	F2BD76	F4F5DE	C4CEB0
FFFDC0	B9D7A1	FEAD26	CA221F	590F0C
241811	D4A979	E3C88F	C2C995	A8BD95
15212A	99C9BD	D7B89C	FEAB8D	F4C9A3
FE6C2B	D43B2D	9F102C	340016	020001
272D4D	B83564	FF6A5A	FFB350	83B8AA
45AAB8	E1D772	FAF4B1	394240	F06B50
E6E1CD	C6D8C0	D6B3B1	F97992	231B42
79A687	718063	67594D	4F2B38	1D1016
CCDED2	FFFBD4	F5DDBB	E3B8B2	A18093
D1B68D	87555C	492D49	51445F	5A5C75
8E407A	FE6962	F9BA84	EEE097	FFFFE5
FFE4AA	FCA699	E2869B	C9729F	583B7E
5ADB94	0BA18C	368986	8A034D	2E0331
332C26	DB1414	E8591C	7FB8B0	C5E65C
030C22	20293F	404749	A9B0B3
75372D	928854	96A782	D4CE9E	D8523D
69D0B3	9BDAB3	B4DFB3	CDE4B3	D9CF85
C9B849	C96823	BE3100	6F0B00	241714
D8D8D8	E2D9D8	ECDAD8	F5DBD8	FFDCD8
9E1E4C	FF1168	25020F	8F8F8F	ECECEC
1F0A1D	334F53	45936C	9ACC77	E5EAD4
101942	80043A	F60C49	F09580	FDF2B4
539FA2	72B1A4	ABCCB1	C4DBB4	D4E2B6
0FC3E8	0194BE	E2D397	F07E13	481800
B5F4BC	FFF19E	FFDC8A	FFBA6B	FF6543
80D3BB	BAFDC2	E5F3BA	5C493D	3A352F
FF4746	E8DA5E	92B55F	487D76	4B4452
A8BCBD	FCDCB3	F88D87	D65981	823772
4B538B	15191D	F7A21B	E45635	D60257
C4DDD6	D4DDD6	E4DDD6	E4E3CD	ECECDD
444444	FCF7D1	A9A17A	B52C00	8C0005
184848	006060	007878	A8C030	F0F0D8
002E34	004443	00755C	00C16C	90FF17
F9D423	EDE574	E1F5C4	ADD6BC	79B7B4
288D85	B9D9B4	D18E8F	B05574	F0A991
000000	FF8830	D1B8A0	AECED2	CBDCDF
E9DFCC	F3A36B	CD5B51	554865	352630
F8F8EC	AEDD2B	066699	0A5483	02416D
FCFDEB	E3CEBD	C1A2A0	725B75	322030
4D4A4B	F60069	FF41A1	FF90AB	FFCCD1
565175	538A95	67B79E	FFB727	E4491C
C8D197	D89845	C54B2C	473430	11BAAC
AEF055	E0FFC3	25E4BC	3F8978	514442
36173D	FF4845	FF745F	FFC55F	FFEC5E
F1ECDF	D4C9AD	C7BA99	000000	F58723
AFFBFF	D2FDFE	FEFAC2	FEBF97	FE6960
706767	E87474	E6A37A	D9C777	C0DBAB
170132	361542	573E54	85AE72	BCE1AB
899AA1	BDA2A2	FBBE9A	FAD889	FAF5C8
7375A5	21A3A3	13C8B5	6CF3D5	2B364A
DB5643	1C0F0E	70AA87	9FB38F	C5BD99
DACDBD	F2B8A0	EF97A3	DF5C7E	D4486F
AAB69B	9E906E	9684A3	8870FF	000000
000706	00272D	134647	0C7E7E	BFAC8B
002930	FFFFFF	F8F0AF	AC4A00	000000
F9F6EC	88A1A8	502940	790614	0D0C0C
D7E8D5	E6F0AF	E8ED76	FFCD57	4A3A47
FFAB03	FC7F03	FC3903	D1024E	A6026C
2F3559	9A5071	E394A7	F1BBBB	E6D8CB
C8CE13	F8F5C1	349E97	2C0D1A	DE1A72
D3C8B4	D4F1DB	EECAB1	FE6C63	240910
B9113F	A8636E	97B59D	CFCCA8	FFE3B3
EDD58F	C2BF92	66AC92	686077	641F5E
F7F6E4	E2D5C1	5F3711	F6F6E2	D4C098
DBDA97	EFAE54	EF6771	4B1D37	977E77
0DB2AC	F5DD7E	FC8D4D	FC694D	FABA32
913F33	FF705F	FFAA67	FFDFAB	9FB9C2
FEE9A6	FEC0AB	FA5894	660860	9380B7
F7F799	E0D124	F0823F	BD374C	443A37
686466	839CB5	96D7EB	B1E1E9	F2E4F9
E6E8E3	D7DACF	BEC3BC	8F9A9C	65727A
50232E	F77C3E	FABA66	FCE185	A2CCA5
DADAD8	FE6196	FF2C69	1EA49D	CBE65B
ED7B83	EC8A90	EBA2A4	E6D1CA	EEE9C7
43777A	442432	C02948	D95B45	ECD079
FFFFFF	A1AC88	757575	464D70	000000
F7F1E1	FFDBD7	FFB2C1	CE7095	855E6E
F9EBF2	F3E2E8	FCD7DA	F58F9A	3C363B
EDECCF	F1C694	DC6378	207178	101652
F4F8E6	F2E9E6	4A3D3D	FF6161	D8DEC3
F3D915	E9E4BB	BFD4B7	A89907	1A1C27
042608	2A5C0B	808F12	FAEDD9	EA2A15
E3BA6A	BFA374	6D756A	4D686F	364461
678D6C	FC7D23	FA3C08	BD0A41	772A53
3F324D	93C2B1	FFEACC	FF995E	DE1D6A
E04891	E1B7ED	F5E1E2	D1E389	B9DE51
4180AB	FFFFFF	8AB3CF	BDD1DE	E4EBF0
F1EBEB	EEE8E8	CACACA	24C0EB	5CCEEE
E4E6C3	88BAA3	BA1E4A	63203D	361F2D
736558	FD65A0	FEF5C6	AAF2E4	31D5DE
95DE90	CEF781	F7C081	FF7857	6B6B6B
B2D9F7	487AA1	3D3C3B	7C8071	DDE3CA
2E1E45	612A52	BA3259	FF695C	CCBCA1
F7DECE	EED7C5	CCCCBB	9EC4BB	2D2E2C
204B5E	426B65	BAAB6A	FBEA80	FDFAC7
FFC2CE	80B3FF	FD6E8A	A2122F	693726
AB505E	D9A071	CFC88F	A5B090	607873
172C3C	274862	995052	D96831	E6B33D
F2502C	CAD17A	FCF59B	91C494	C42311
63594D	B18272	C2B291	D6E4C3	EAE3D1
8DC9B5	F6F4C2	FFC391	FF695C	8C315D
EBF2F2	D0F2E7	BCEBDF	ADE0DB	D9DBDB
482C21	A73E2B	D07E0E	E9DEB0	2F615E
9C8680	EB5E7F	F98F6F	DBBF6B	C8EB6A
EFAC41	DE8531	B32900	6C1305	330A04
910142	6C043C	210123	FEF7D5	0EC0C1
FF275E	E6BC56	7F440A	6A9277	F8D9BD
C72546	66424C	768A4F	B3C262	D5CA98
C3DFD7	C8DFD2	CDDFCD	D2DFC8	D7DFC3
DBF73B	C0CC39	EB0258	A6033F	2B2628
F8F69F	BAB986	7C7B6C	3E3E53	000039
941F1F	CE6B5D	FFEFB9	7B9971	34502B
454545	743455	A22365	D11174	FF0084
F26B7A	F0F2DC	D9EB52	8AC7DE	87796F
917F6E	EFBC98	EFD2BE	EFE1D1	D9DDCD
615050	776A6A	AD9A6F	F5F1E8	FCFCFC
E8DE92	810E0B	FEBEA3	FCE5B1	F6F5DA
DAE2CB	96C3A6	6CB6A5	221D34	90425C
262525	525252	E6DDBC	822626	690202
8C0E48	80AB99	E8DBAD	B39E58	99822D
482344	2B5166	429867	FAB243	E02130
B9340B	CEA45C	C5BE8B	498379	3F261C
FFFBF0	968F4B	7A6248	AB9597	030506
31827C	95C68F	F7E9AA	FC8A80	FD4E6D
FFCFAD	FFE4B8	E6D1B1	B8AA95	5E5A54
4D433D	525C5A	56877D	8CCC81	BADE57
0C0636	095169	059B9A	53BA83	9FD86B
72BCA5	F4DDB4	F1AE2B	BC0B27	4A2512
F4E196	A6BF91	5F9982	78576B	400428
20130A	142026	123142	3B657A	E9F0C9
171133	581E44	C5485A	D4BE99	E0FFCC
CFB698	FF5D57	DD0B64	6F0550	401C2A
2B9EB3	85CC9C	BCD9A0	EDF79E	FAFAD7
A8C078	A89048	A84818	61290E	330C0C
141827	62455B	736681	C1D9D0	FFFAE3
EECCBB	F1731F	E03E36	BD0D59	730662
B877A8	B8008A	FF3366	FFCC33	CCFF33
52423C	AD5C70	D3AD98	EDD4BE	B9C3C4
820081	FE59C2	FE40B9	FE1CAC	390039
DDCAA2	AEBEA3	B97479	D83957	4E5C69
EBE5B2	F6F3C2	F7C69F	F89B7E	B5A28B
FF0F35	F86254	FEA189	F3D5A5	BAB997
FF9934	FFC018	F8FEF4	CDE54E	B3C631
A9B79E	E8DDBD	DBA887	C25848	9D1D36
353437	53576B	7A7B7C	A39B7E	E2C99F
A22C27	4F2621	9F8241	EBD592	929867
FF9966	D99973	B39980	8C998C	669999
D1DBC8	B8C2A0	C97C7A	DA3754	1F1106
F9DED3	FDD1B6	FAB4B6	C7B6BE	89ABB4
F6EDDC	E3E5D7	BDD6D2	A5C8CA	586875
FFAD08	EDD75A	73B06F	0C8F8F	405059
8FC9B9	D8D9C0	D18E8F	AB5C72	91334F
6A3D5A	66666E	6D8D76	B0C65A	EBF74F
BDBF90	35352B	E7E9C4	EC6C2B	FEAE4B
FDBF5C	F69A0B	D43A00	9B0800	1D2440
1C0B2B	301C41	413B6B	5C65C0	6F95FF
839074	939E78	A8A878	061013	CDCD76
F3DCB2	FACB97	F59982	ED616F	F2116C
BDA0A2	FFE6DB	D1EAEE	CBC8B5	EFB0A9
031C30	5A3546	B5485F	FC6747	FA8D3B
D1DAB9	92BEA5	6F646C	671045	31233E
8BA6AC	D7D7B8	E5E6C9	F8F8EC	BDCDD0
EB9D8D	93865A	A8BB9A	C5CBA6	EFD8A9
4B4B55	F4324A	FF516C	FB9C5A	FCC755
9D9F89	84AF97	8BC59B	B2DE93	CCEE8D
666666	ABDB25	999999	FFFFFF	CCCCCC
FDF4B0	A4DCB9	5BCEBF	32B9BE	2E97B7
27081D	47232C	66997B	A4CA8B	D2E7AA
940533	C0012A	F5061D	FF8800	FFB300
000000	ED0B65	B2A700	FCAE11	770493
FF3366	E64066	CC4D66	B35966	996666
1F0B0C	E7FCCF	D6C396	B3544F	300511
302727	BA2D2D	F2511B	F2861B	C7C730
FEF0A5	F8D28B	E3B18B	A78D9E	74819D
ADEADA	BDEADB	CDEADC	DDEADD	EDEADE
332E1D	5AC7AA	9ADCB9	FAFCD3	EFEBA9
6E9167	FFDD8C	FF8030	CC4E00	700808
F3214E	CF023B	000000	F4A854	FFF8BC
DFD0AF	E8ACAC	A45785	85586C	A1C0A1
210518	3D1C33	5E4B55	7C917F	93BD9A
331436	7A1745	CB4F57	EB9961	FCF4B6
F7EAD9	E1D2A9	88B499	619885	67594E
604830	F0C0C0	F0F0D8
F7F0BA	E0DBA4	A9CBA6	7EBEA3	53A08E
EC4B59	9A2848	130716	FC8C77	F8DFBD
A2C7BB	DDE29F	AC8D49	AC0D0D	320606
470D3B	7E2F56	C0576F	E48679	FEBD84
FCE7D2	E0DBBD	C0CEAA	FD8086	EB5874
FCF3E3	ED4C87	63526E	6CBAA4	F2AD5E
D46419	B34212	341405	166665	83870E
295264	FAD9A6	BD2F28	89373D	142433
27191C	2D3839	114D4D	6E9987	E0E4CE
A6988A	88A19F	6AABB5	4BB4CA	1EC3EA
FF7A24	FF6D54	F76D75	E8728F	C97BA5
